Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
4;7943,2822265625;72,5701318556223;-1,89946524460455;LDH-M2-6-18h-DS
4;6309,5732421875;72,8251346600237;-2,15870167489703;LDH-M2-6-18h-DS
4;5011,87255859375;72,9588839376638;-2,51622002715867;LDH-M2-6-18h-DS
4;3981,07177734375;73,122705437668;-2,95533990455402;LDH-M2-6-18h-DS
4;3162,27758789063;73,2087859160748;-3,46453782041477;LDH-M2-6-18h-DS
4;2511,88647460938;73,3670808633746;-4,17317712621823;LDH-M2-6-18h-DS
4;1995,26232910156;73,5846421149378;-4,85784189646692;LDH-M2-6-18h-DS
4;1584,89318847656;73,8634319944982;-5,90295350458466;LDH-M2-6-18h-DS
4;1258,92541503906;74,2597850191079;-7,05648302158868;LDH-M2-6-18h-DS
4;1000;74,6544346457193;-8,38772442057724;LDH-M2-6-18h-DS
4;794,328247070313;75,1263545653206;-10,1693030997036;LDH-M2-6-18h-DS
4;630,957336425781;75,7674674474182;-12,3479294214401;LDH-M2-6-18h-DS
4;501,187225341797;76,430296754369;-14,7354093419889;LDH-M2-6-18h-DS
4;398,107177734375;77,3549028680953;-17,9878789070109;LDH-M2-6-18h-DS
4;316,227752685547;78,5472398937381;-21,8627524849212;LDH-M2-6-18h-DS
4;251,18864440918;79,8536300416073;-26,1247561537497;LDH-M2-6-18h-DS
4;199,526229858398;81,7381984812928;-31,815378736501;LDH-M2-6-18h-DS
4;158,489318847656;84,1198283655631;-38,8282255209116;LDH-M2-6-18h-DS
4;125,892539978027;87,0194191682303;-46,4324226141109;LDH-M2-6-18h-DS
4;100;91,1752591710761;-56,2217327411243;LDH-M2-6-18h-DS
4;79,4328231811523;96,6158226078379;-67,3585798411182;LDH-M2-6-18h-DS
4;63,0957336425781;103,090169333781;-79,6814046456763;LDH-M2-6-18h-DS
4;50,118724822998;111,987898494429;-94,4703111400006;LDH-M2-6-18h-DS
4;39,810718536377;124,307237295173;-112,163531127207;LDH-M2-6-18h-DS
4;31,6227760314941;138,108416793046;-129,22570613905;LDH-M2-6-18h-DS
4;25,1188640594482;156,466997805431;-148,789504881224;LDH-M2-6-18h-DS
4;19,9526233673096;179,826329295594;-169,833594605562;LDH-M2-6-18h-DS
4;15,8489322662354;203,923925538007;-188,884211923855;LDH-M2-6-18h-DS
4;12,5892543792725;233,046123477516;-209,055145051493;LDH-M2-6-18h-DS
4;10;264,36730935403;-227,671685360592;LDH-M2-6-18h-DS
4;7,94328212738037;297,67738260415;-246,11010102455;LDH-M2-6-18h-DS
4;6,30957365036011;332,738315871761;-264,282105637348;LDH-M2-6-18h-DS
4;5,01187229156494;369,035649556626;-283,363213320411;LDH-M2-6-18h-DS
4;3,98107171058655;406,836891786616;-303,892427235574;LDH-M2-6-18h-DS
4;3,16227769851685;446,896582310048;-327,138258911921;LDH-M2-6-18h-DS
4;2,51188635826111;488,965282789218;-353,706026956614;LDH-M2-6-18h-DS
4;1,99526226520538;533,383277917854;-383,708484187042;LDH-M2-6-18h-DS
4;1,58489322662354;587,323136222486;-423,059013273116;LDH-M2-6-18h-DS
4;1,25892543792725;637,666339173103;-458,675497548265;LDH-M2-6-18h-DS
4;1;696,786479477066;-501,780843821415;LDH-M2-6-18h-DS
4;0,794328212738037;767,333594712369;-552,028754250877;LDH-M2-6-18h-DS
4;0,630957365036011;846,176091889128;-607,281080670727;LDH-M2-6-18h-DS
